iter	RMSE
0	0.9482000173
1	0.9198544814
2	0.8940540722
3	0.8696347076
4	0.8480967678
5	0.8294933424
6	0.8115946227
7	0.7955999925
8	0.7805010903
9	0.7651332194
10	0.7514882946
11	0.7393250395
12	0.7269845428
13	0.7165017949
14	0.7079704396
15	0.6997671439
16	0.692653154
17	0.6850443369
18	0.6792730237
19	0.6724121936
20	0.6672379992
21	0.6617287214
22	0.656463055
23	0.652153818
24	0.6482107445
25	0.6438479055
26	0.6403740079
27	0.6365461143
28	0.632604903
29	0.6282977866
30	0.625630002
31	0.622554484
32	0.6190047213
33	0.6165242408
34	0.6140555754
35	0.6112914667
36	0.6088582421
37	0.6064985298
38	0.6029519901
39	0.6010655038
40	0.5988310785
41	0.5972908509
42	0.5952736518
43	0.5932428796
44	0.5916760123
45	0.5894729098
46	0.5879295508
47	0.5861690312
48	0.5845863396
49	0.5830949915
50	0.581089582
51	0.5803012938
52	0.578878454
53	0.576462881
54	0.5748383338
55	0.5729148743
56	0.57160523
57	0.5699142047
58	0.5673719592
59	0.5665988404
60	0.565444563
61	0.5644699519
62	0.5636874858
63	0.5626254582
64	0.5615944259
65	0.5603945734
66	0.5590538486
67	0.5577933377
68	0.5566177996
69	0.5555126321
70	0.5548639516
71	0.5538190751
72	0.5528346489
73	0.5517458478
74	0.5507762809
75	0.5499803363
76	0.5492348846
77	0.5484598078
78	0.5473276117
79	0.5467258533
80	0.5460010612
81	0.5453144652
82	0.5444435268
83	0.5433778552
84	0.5419397497
85	0.5402831652
86	0.5396829786
87	0.5392349313
88	0.5380129909
89	0.5368418384
90	0.5355717633
91	0.5346642633
92	0.5339570177
93	0.533277064
94	0.5326484596
95	0.5317640547
96	0.5313680014
97	0.5302929145
98	0.5294488873
99	0.528894197
100	0.5284598394
101	0.5281117312
102	0.5273010792
103	0.5265527733
104	0.5258111398
105	0.5251223683
106	0.5240689984
107	0.522035203
108	0.5211762942
109	0.5205189737
110	0.5191137378
111	0.5187046631
112	0.5179627732
113	0.5172904633
114	0.5160286267
115	0.5151931015
116	0.5149203167
117	0.5139040173
118	0.5132568773
119	0.5132367896
120	0.512513887
121	0.511929905
122	0.5113673225
123	0.5108334929
124	0.5102168912
125	0.5096957527
126	0.508937939
127	0.5083031314
128	0.5076539409
129	0.5068431495
130	0.5062421714
131	0.5057121672
132	0.5045015154
133	0.5039564136
134	0.5029542834
135	0.5025498671
136	0.5019300025
137	0.5013134869
138	0.5006024922
139	0.4999119844
140	0.4993975914
141	0.4988426613
142	0.4983954388
143	0.4977712832
144	0.4973346756
145	0.4970919528
146	0.4965459846
147	0.4962228509
148	0.4955311454
149	0.4946595923
150	0.4938634586
151	0.4928868274
152	0.4924678551
153	0.4915895092
154	0.4909859275
155	0.4902384297
156	0.4894366325
157	0.4888712562
158	0.4880959579
159	0.4875596651
160	0.4869249304
161	0.4863472179
162	0.4861318239
163	0.4856216244
164	0.4851282421
165	0.4845064804
166	0.4839880644
167	0.4835036199
168	0.4826845505
169	0.4822416914
170	0.4817856536
171	0.4815490296
172	0.4809168444
173	0.4804377281
174	0.4798080615
175	0.4792225182
176	0.4787183485
177	0.4781854528
178	0.4777838417
179	0.4774594781
180	0.4767674358
181	0.4762766013
182	0.4758739166
183	0.4755081144
184	0.4751653689
185	0.474258187
186	0.473877327
187	0.4732876567
188	0.4730188444
189	0.4725625504
190	0.4725382232
