iter	RMSE
0	0.9603747055
1	0.9403443469
2	0.9205729051
3	0.9037462564
4	0.8886672208
5	0.8769335254
6	0.8602734696
7	0.8469669085
8	0.8340303258
9	0.825276139
10	0.8167957607
11	0.8097108001
12	0.800201954
13	0.7914750946
14	0.783375866
15	0.7755046674
16	0.7684961677
17	0.7622036681
18	0.7557168818
19	0.7510142155
20	0.7453779379
21	0.7394199678
22	0.7346002228
23	0.7310990836
24	0.7260767251
25	0.7226552814
26	0.719205734
27	0.7158903283
28	0.7132563166
29	0.7086392234
30	0.7059742006
31	0.7036286685
32	0.7014763525
33	0.6973415425
34	0.6941338616
35	0.6906366582
36	0.6886147161
37	0.6866205034
38	0.6844126469
39	0.6826282237
40	0.6802222126
41	0.678212918
42	0.6762775843
43	0.6745970905
44	0.6725633452
45	0.6713206859
46	0.6698822782
47	0.6680613077
48	0.6657389411
49	0.6645090032
50	0.662733289
51	0.6614979979
52	0.6603062513
53	0.6579504039
54	0.6565064157
55	0.6545988194
56	0.6527005778
57	0.6516623026
58	0.6504067624
59	0.6488202885
60	0.6475297379
61	0.6454703864
62	0.6436376105
63	0.6422134147
64	0.6414411985
65	0.6406896099
66	0.6395081367
67	0.637836227
68	0.6367907607
69	0.6351985857
70	0.6341444828
71	0.6332811208
72	0.6316569204
73	0.6306866489
74	0.6295292314
75	0.6285664629
76	0.6278069193
77	0.6267884183
78	0.6258059469
79	0.6248690502
80	0.6242945301
81	0.6236315664
82	0.6231353291
83	0.6226846542
84	0.622046022
85	0.6202938505
86	0.6193802524
87	0.6186935651
88	0.6175436113
89	0.6163171469
90	0.6154192129
91	0.6141256086
92	0.6133623923
93	0.6125745707
94	0.6120765119
95	0.6116077099
96	0.6106668177
97	0.610145011
98	0.609305907
99	0.6083105159
100	0.6077365528
101	0.6068479044
102	0.6062627921
103	0.6058169892
104	0.6052525329
105	0.6046768918
106	0.6039558054
107	0.6035022227
108	0.6025281622
109	0.6017211186
110	0.6002940073
111	0.5996531741
112	0.5992369149
113	0.5979508047
114	0.59731439
115	0.5969130024
116	0.5961085762
117	0.5956414039
118	0.595008194
119	0.594718112
120	0.5937224141
121	0.5932596287
122	0.5928346212
123	0.5925610624
124	0.59208945
125	0.5910734182
126	0.5904845985
127	0.5897528654
128	0.5894811063
129	0.5889423565
130	0.5875800328
131	0.5862599741
132	0.5849964332
133	0.5841909363
134	0.5838890856
135	0.5836066855
136	0.5831581501
137	0.5825788608
138	0.5821948015
139	0.5816703204
140	0.5813601392
141	0.5809239829
142	0.5805610332
143	0.5803351109
144	0.5793872741
145	0.5790954823
146	0.5786106478
147	0.577542414
148	0.5770430789
149	0.5762665073
150	0.5758883306
151	0.5755429007
152	0.5751217082
153	0.5748228489
154	0.5743651447
155	0.573916581
156	0.5731226402
157	0.57268471
158	0.572128739
159	0.5716742952
160	0.5713038586
161	0.5706049557
162	0.5703074337
163	0.5694228759
164	0.5689642454
165	0.5685862904
166	0.5681995296
167	0.5676158273
168	0.5671281717
169	0.5666477216
170	0.5653963072
171	0.5650260344
172	0.5646844364
173	0.5642696572
174	0.5638061517
175	0.563377079
176	0.5629967968
177	0.562247873
178	0.5614876115
179	0.5610496224
180	0.5607347727
181	0.5602558184
182	0.5598559689
183	0.5594261151
184	0.5591895675
185	0.5581055948
186	0.5576978117
187	0.5573263158
188	0.5569776098
189	0.5563433023
190	0.5559879706
