iter	Passed	Remaining
0	20	20349
1	36	17971
2	54	18229
3	72	18130
4	89	17755
5	104	17370
6	120	17076
7	137	17047
8	154	17043
9	177	17576
10	201	18099
11	225	18547
12	245	18635
13	261	18401
14	275	18105
15	291	17935
16	305	17689
17	322	17593
18	336	17377
19	354	17386
20	371	17298
21	390	17348
22	412	17543
23	431	17541
24	449	17548
25	467	17511
26	484	17464
27	498	17320
28	513	17196
29	530	17153
30	544	17014
31	559	16910
32	572	16766
33	587	16697
34	601	16583
35	614	16465
36	627	16342
37	644	16325
38	660	16264
39	672	16150
40	686	16060
41	701	15998
42	716	15937
43	731	15895
44	745	15817
45	759	15752
46	773	15692
47	787	15612
48	802	15581
49	817	15540
50	830	15461
51	845	15406
52	859	15353
53	872	15281
54	885	15212
55	898	15149
56	913	15111
57	926	15053
58	942	15032
59	956	14984
60	974	14993
61	991	14996
62	1007	14979
63	1023	14968
64	1039	14957
65	1054	14917
66	1070	14904
67	1087	14898
68	1101	14868
69	1117	14848
70	1137	14880
71	1153	14864
72	1174	14911
73	1189	14885
74	1216	15002
75	1227	14918
76	1238	14840
77	1248	14761
78	1259	14679
79	1269	14600
80	1279	14522
81	1289	14441
82	1300	14366
83	1309	14280
84	1319	14205
85	1331	14147
86	1340	14068
87	1351	14002
88	1361	13934
89	1372	13875
90	1383	13823
91	1393	13755
92	1404	13700
93	1414	13632
94	1423	13558
95	1434	13509
96	1445	13459
97	1454	13390
98	1465	13340
99	1475	13282
100	1485	13223
101	1494	13161
102	1505	13107
103	1515	13053
104	1526	13012
105	1536	12956
106	1546	12908
107	1555	12848
108	1566	12802
109	1574	12742
110	1583	12680
111	1592	12627
112	1602	12580
113	1612	12530
114	1620	12473
115	1630	12425
116	1639	12371
117	1649	12327
118	1658	12276
119	1666	12218
120	1675	12174
121	1683	12118
122	1693	12072
123	1701	12020
124	1710	11971
125	1717	11912
126	1741	11973
127	1751	11930
128	1761	11890
129	1769	11840
130	1778	11798
131	1787	11752
132	1795	11705
133	1804	11661
134	1813	11620
135	1822	11579
136	1832	11540
137	1842	11506
138	1850	11461
139	1860	11425
140	1868	11382
141	1878	11351
142	1886	11305
143	1894	11263
144	1902	11219
145	1911	11180
146	1920	11145
147	1931	11116
148	1941	11089
149	1950	11051
150	1959	11018
151	1968	10984
152	1976	10942
153	1984	10902
154	1992	10863
155	2003	10837
156	2011	10802
157	2019	10761
158	2027	10723
159	2036	10692
160	2044	10654
161	2052	10614
162	2060	10579
163	2068	10543
164	2076	10510
165	2085	10475
166	2093	10441
167	2101	10409
168	2112	10386
169	2121	10358
170	2131	10335
171	2140	10302
172	2150	10280
173	2159	10250
174	2167	10219
175	2177	10196
176	2187	10171
177	2196	10143
178	2205	10117
179	2214	10087
180	2225	10072
181	2234	10041
182	2242	10013
183	2251	9987
184	2260	9959
185	2268	9929
186	2278	9904
187	2286	9875
188	2294	9846
189	2302	9816
190	2311	9788
191	2319	9761
192	2329	9738
193	2336	9707
194	2345	9684
195	2354	9658
196	2362	9629
197	2369	9599
198	2379	9576
199	2387	9550
200	2397	9528
201	2407	9509
202	2416	9486
203	2425	9463
204	2433	9437
205	2444	9421
206	2454	9402
207	2463	9380
208	2473	9362
209	2484	9346
210	2494	9329
211	2505	9312
212	2514	9289
213	2523	9268
214	2533	9249
215	2544	9234
216	2555	9222
217	2564	9201
218	2579	9199
219	2589	9179
220	2597	9156
221	2607	9138
222	2616	9116
223	2625	9096
224	2634	9076
225	2643	9053
226	2652	9032
227	2661	9011
228	2670	8990
229	2680	8972
230	2690	8956
231	2700	8939
232	2710	8923
233	2720	8906
234	2728	8883
235	2738	8864
236	2746	8841
