iter	RMSE
0	0.9571478905
1	0.9356106336
2	0.9157359813
3	0.9001036527
4	0.8837603055
5	0.8698199895
6	0.8592037001
7	0.8471338266
8	0.8354995923
9	0.8273950834
10	0.8177332972
11	0.8094255267
12	0.8012212142
13	0.7944560132
14	0.7892242215
15	0.7825575036
16	0.7765740384
17	0.7715020833
18	0.7661066161
19	0.7618716546
20	0.7559765768
21	0.7526311889
22	0.7491567335
23	0.7444544526
24	0.7411813641
25	0.7364512825
26	0.7332411442
27	0.7306845332
28	0.7283548301
29	0.7258502398
30	0.7223931493
31	0.7201309144
32	0.7182267489
33	0.7164286198
34	0.7138571691
35	0.7124479067
36	0.7103110671
37	0.7087627286
38	0.7072300979
39	0.7045846712
40	0.7034121124
41	0.7023028932
42	0.7010014985
43	0.6989029896
44	0.6975612013
45	0.6962870904
46	0.6937025291
47	0.6929771952
48	0.6913005406
49	0.6904806184
50	0.6892516653
51	0.6873437583
52	0.6863414798
53	0.6857426152
54	0.6847501685
55	0.6839179122
56	0.6826184695
57	0.681884974
58	0.6813229519
59	0.6805558893
60	0.6797395218
61	0.6781854695
62	0.6773598028
63	0.6763534971
64	0.6754654042
65	0.6744996514
66	0.6735673567
67	0.6722169235
68	0.6708821484
69	0.6701127835
70	0.6696800039
71	0.6689320273
72	0.6679973714
73	0.666975231
74	0.6666257309
75	0.6660811878
76	0.665470504
77	0.6648773542
78	0.6644035865
79	0.6636382934
80	0.6633783645
81	0.6627052723
82	0.6619466075
83	0.66034395
84	0.6596112782
85	0.6589004557
86	0.6582651356
87	0.6578960475
88	0.657396518
89	0.6570825586
90	0.6564769256
91	0.6560024271
92	0.6555253656
93	0.6550497756
94	0.654473925
95	0.6540422752
96	0.6533316705
97	0.6528995868
98	0.6525030544
99	0.6521390991
100	0.6515550447
101	0.6510112882
102	0.6506767017
103	0.6497994687
104	0.6491925193
105	0.6488096192
106	0.6482915097
107	0.6478731202
108	0.6476032297
109	0.6471664766
110	0.646582765
111	0.6459650375
112	0.6454273623
113	0.6449100923
114	0.6443635592
115	0.643992605
116	0.6434219094
117	0.6433233377
118	0.6429709025
119	0.642777763
120	0.6425041612
121	0.6420210992
122	0.6418093895
123	0.6415765465
124	0.6411738475
125	0.6410363569
126	0.6405552799
127	0.6399501609
128	0.6393376657
129	0.6389725207
130	0.6385184453
131	0.6382178502
132	0.6376769186
133	0.6372040892
134	0.6368494085
135	0.6361572738
136	0.6358118865
137	0.6354152815
138	0.6350018421
139	0.6344423227
140	0.6341398779
141	0.6336868618
142	0.6334236419
143	0.6332374733
144	0.6331447985
145	0.6327649525
146	0.6323363303
147	0.6319688116
