iter	Passed	Remaining
0	5	5813
1	11	5591
2	16	5540
3	21	5440
4	30	6008
5	37	6182
6	43	6142
7	49	6115
8	55	6065
9	61	6119
10	66	6002
11	72	5944
12	79	6054
13	85	5999
14	90	5921
15	94	5820
16	98	5718
17	104	5675
18	108	5614
19	113	5540
20	118	5521
21	124	5555
22	131	5575
23	138	5635
24	146	5702
25	153	5753
26	160	5796
27	172	5997
28	178	5972
29	186	6028
30	192	6026
31	201	6102
32	207	6093
33	212	6041
34	218	6013
35	222	5961
36	227	5925
37	233	5905
38	239	5894
39	244	5863
40	250	5869
41	256	5852
42	263	5854
43	270	5886
44	278	5901
45	286	5935
46	292	5922
47	298	5916
48	303	5889
49	308	5870
50	314	5857
51	320	5844
52	326	5825
53	331	5800
54	336	5786
55	341	5754
56	345	5724
57	352	5722
58	357	5709
59	363	5687
60	368	5676
61	374	5664
62	379	5638
63	384	5616
64	390	5621
65	396	5606
66	401	5595
67	408	5594
68	412	5570
69	418	5553
70	423	5541
71	428	5520
72	432	5494
73	438	5491
74	443	5475
75	449	5465
76	454	5450
77	459	5433
78	464	5411
79	469	5404
80	474	5387
81	480	5374
82	487	5384
83	492	5368
84	497	5356
85	503	5353
86	508	5338
87	513	5322
88	520	5330
89	527	5328
90	532	5323
91	539	5319
92	545	5322
93	552	5323
94	558	5316
95	565	5328
96	572	5328
97	577	5316
98	584	5316
99	589	5302
100	596	5312
101	603	5314
102	608	5302
103	615	5306
104	621	5295
105	626	5283
106	631	5274
107	637	5265
108	643	5257
109	649	5252
110	654	5238
111	658	5224
112	664	5217
113	669	5205
114	675	5195
115	681	5190
116	686	5182
117	692	5172
118	697	5167
119	703	5158
120	708	5146
121	715	5147
122	721	5144
123	728	5147
124	734	5138
125	741	5140
126	746	5132
127	752	5127
128	759	5130
129	765	5123
130	770	5110
131	777	5111
132	782	5102
133	788	5095
134	794	5093
135	802	5097
136	809	5100
137	816	5101
138	821	5090
139	829	5095
140	834	5085
141	839	5071
142	845	5065
143	850	5054
144	855	5043
145	862	5043
146	868	5039
147	875	5039
148	881	5034
149	888	5035
150	897	5043
151	901	5031
152	909	5037
153	914	5025
154	920	5018
155	928	5022
156	932	5008
157	938	5003
158	945	5001
159	950	4992
160	958	4995
161	963	4986
162	969	4977
163	976	4975
164	981	4967
165	987	4962
166	994	4958
167	998	4946
168	1004	4938
169	1011	4937
170	1016	4928
171	1022	4924
172	1028	4914
173	1032	4901
174	1038	4896
175	1044	4890
176	1050	4884
177	1055	4875
178	1060	4864
179	1066	4857
180	1071	4846
181	1075	4835
182	1082	4832
183	1087	4823
184	1095	4825
185	1102	4826
186	1108	4818
187	1114	4815
188	1120	4806
189	1125	4796
190	1132	4795
191	1137	4787
192	1142	4778
193	1149	4775
194	1155	4771
195	1162	4768
196	1167	4758
197	1172	4751
198	1179	4748
199	1184	4738
200	1189	4727
201	1195	4724
202	1201	4717
203	1206	4708
204	1212	4703
205	1218	4695
206	1223	4687
207	1229	4682
208	1234	4673
209	1239	4664
210	1245	4656
211	1250	4648
212	1255	4637
213	1261	4632
214	1266	4625
215	1272	4616
216	1278	4611
217	1283	4603
218	1288	4595
219	1295	4591
220	1299	4581
221	1304	4571
222	1312	4571
223	1316	4562
224	1321	4552
225	1327	4546
226	1331	4534
227	1337	4527
228	1343	4521
229	1348	4513
230	1353	4504
231	1358	4496
232	1363	4487
233	1368	4478
234	1373	4470
235	1377	4460
236	1383	4452
237	1391	4455
238	1397	4451
239	1404	4446
240	1413	4451
241	1422	4455
242	1431	4458
243	1439	4459
244	1445	4454
245	1451	4449
246	1461	4454
247	1468	4453
248	1476	4453
249	1483	4450
250	1494	4460
251	1503	4461
252	1514	4471
253	1523	4475
254	1531	4474
255	1540	4475
256	1550	4481
257	1563	4497
258	1576	4511
259	1585	4512
260	1599	4529
261	1612	4542
262	1622	4546
263	1639	4572
264	1655	4590
265	1672	4613
266	1680	4612
267	1687	4610
268	1694	4603
269	1702	4602
270	1711	4604
