iter	Passed	Remaining
0	283	567333
1	394	394157
2	466	310680
3	537	268174
4	605	241545
5	681	226580
6	755	215234
7	826	205866
8	896	198402
9	966	192275
10	1035	187188
11	1100	182303
12	1169	178683
13	1231	174652
14	1299	172006
15	1365	169268
16	1439	167870
17	1500	165198
18	1560	162745
19	1619	160318
20	1685	158861
21	1742	156669
22	1803	155049
23	1865	153622
24	1923	151934
25	1978	150189
26	2037	148872
27	2097	147717
28	2155	146517
29	2218	145688
30	2279	144764
31	2342	144037
32	2402	143227
33	2462	142372
34	2523	141692
35	2583	140931
36	2650	140615
37	2711	139974
38	2771	139356
39	2829	138628
40	2891	138176
41	2953	137705
42	3013	137145
43	3072	136599
44	3131	136033
45	3187	135389
46	3245	134858
47	3303	134359
48	3364	133970
49	3423	133513
50	3485	133192
51	3540	132615
52	3596	132113
53	3659	131890
54	3721	131601
55	3777	131116
56	3836	130781
57	3897	130483
58	3957	130202
59	4014	129798
60	4069	129355
61	4123	128885
62	4181	128565
63	4239	128245
64	4294	127858
65	4353	127577
66	4412	127308
67	4471	127055
68	4529	126773
69	4589	126528
70	4643	126172
71	4700	125875
72	4754	125504
73	4814	125294
74	4872	125052
75	4929	124801
76	4984	124479
77	5045	124335
78	5104	124113
79	5161	123878
80	5221	123715
81	5282	123555
82	5341	123364
83	5399	123153
84	5456	122924
85	5512	122688
86	5570	122490
87	5628	122292
88	5695	122291
89	5754	122126
90	5819	122086
91	5878	121923
92	5940	121805
93	6000	121668
94	6060	121524
95	6119	121378
96	6177	121193
97	6245	121218
98	6310	121182
99	6368	120993
100	6429	120884
101	6488	120735
102	6547	120591
103	6603	120382
104	6670	120383
105	6730	120256
106	6794	120198
107	6849	120000
108	6909	119873
109	6965	119680
110	7027	119593
111	7083	119404
112	7142	119279
113	7196	119049
114	7267	119118
115	7361	119554
116	7474	120294
117	7598	121191
118	7694	121629
119	7720	120954
120	7804	121187
121	7881	121329
122	7952	121357
123	8027	121447
124	8098	121470
125	8166	121464
126	8237	121482
127	8305	121463
128	8374	121468
129	8445	121483
130	8523	121607
131	8601	121720
132	8713	122312
133	8809	122681
134	8908	123072
135	8991	123232
136	9078	123457
137	9170	123730
138	9244	123771
139	9326	123906
140	9401	123948
141	9473	123953
142	9543	123936
143	9617	123960
144	9691	123989
145	9759	123930
146	9836	123997
147	9915	124080
148	10000	124231
149	10078	124302
150	10165	124478
151	10257	124710
152	10339	124813
153	10422	124936
154	10506	125064
155	10594	125230
156	10679	125367
157	10773	125603
158	10857	125714
159	10953	125960
160	11031	126009
161	11114	126106
162	11189	126106
163	11267	126138
164	11352	126249
165	11436	126350
166	11516	126404
167	11611	126618
