0:	learn: 0.9700067	total: 46.9ms	remaining: 46.9s
1:	learn: 0.9661546	total: 58.7ms	remaining: 29.3s
2:	learn: 0.9620661	total: 69.8ms	remaining: 23.2s
3:	learn: 0.9579561	total: 80.7ms	remaining: 20.1s
4:	learn: 0.9544548	total: 93.4ms	remaining: 18.6s
5:	learn: 0.9508302	total: 104ms	remaining: 17.3s
6:	learn: 0.9472787	total: 115ms	remaining: 16.3s
7:	learn: 0.9440872	total: 127ms	remaining: 15.8s
8:	learn: 0.9411983	total: 140ms	remaining: 15.4s
9:	learn: 0.9375592	total: 150ms	remaining: 14.9s
10:	learn: 0.9347413	total: 162ms	remaining: 14.6s
11:	learn: 0.9309753	total: 173ms	remaining: 14.2s
12:	learn: 0.9275827	total: 185ms	remaining: 14s
13:	learn: 0.9241914	total: 195ms	remaining: 13.7s
14:	learn: 0.9209191	total: 208ms	remaining: 13.6s
15:	learn: 0.9175325	total: 219ms	remaining: 13.5s
16:	learn: 0.9150085	total: 230ms	remaining: 13.3s
17:	learn: 0.9117096	total: 258ms	remaining: 14s
18:	learn: 0.9087042	total: 270ms	remaining: 13.9s
19:	learn: 0.9062076	total: 284ms	remaining: 13.9s
20:	learn: 0.9037281	total: 296ms	remaining: 13.8s
21:	learn: 0.9004711	total: 316ms	remaining: 14.1s
22:	learn: 0.8975561	total: 328ms	remaining: 13.9s
23:	learn: 0.8952583	total: 342ms	remaining: 13.9s
24:	learn: 0.8922580	total: 353ms	remaining: 13.8s
25:	learn: 0.8896872	total: 364ms	remaining: 13.7s
26:	learn: 0.8870389	total: 390ms	remaining: 14s
27:	learn: 0.8848004	total: 400ms	remaining: 13.9s
28:	learn: 0.8820540	total: 411ms	remaining: 13.8s
29:	learn: 0.8789857	total: 425ms	remaining: 13.7s
30:	learn: 0.8762706	total: 435ms	remaining: 13.6s
31:	learn: 0.8741493	total: 448ms	remaining: 13.5s
32:	learn: 0.8714804	total: 459ms	remaining: 13.4s
33:	learn: 0.8688725	total: 471ms	remaining: 13.4s
34:	learn: 0.8661864	total: 483ms	remaining: 13.3s
35:	learn: 0.8639588	total: 495ms	remaining: 13.3s
36:	learn: 0.8617788	total: 506ms	remaining: 13.2s
37:	learn: 0.8592008	total: 520ms	remaining: 13.2s
38:	learn: 0.8569416	total: 532ms	remaining: 13.1s
39:	learn: 0.8543449	total: 545ms	remaining: 13.1s
40:	learn: 0.8517115	total: 557ms	remaining: 13s
41:	learn: 0.8496679	total: 568ms	remaining: 13s
42:	learn: 0.8474270	total: 579ms	remaining: 12.9s
43:	learn: 0.8452981	total: 592ms	remaining: 12.9s
44:	learn: 0.8429245	total: 602ms	remaining: 12.8s
45:	learn: 0.8411567	total: 612ms	remaining: 12.7s
46:	learn: 0.8388324	total: 624ms	remaining: 12.7s
47:	learn: 0.8365871	total: 634ms	remaining: 12.6s
48:	learn: 0.8344416	total: 645ms	remaining: 12.5s
49:	learn: 0.8323431	total: 655ms	remaining: 12.4s
50:	learn: 0.8301167	total: 666ms	remaining: 12.4s
51:	learn: 0.8279532	total: 675ms	remaining: 12.3s
52:	learn: 0.8260101	total: 688ms	remaining: 12.3s
53:	learn: 0.8241866	total: 698ms	remaining: 12.2s
54:	learn: 0.8223026	total: 711ms	remaining: 12.2s
55:	learn: 0.8202693	total: 720ms	remaining: 12.1s
56:	learn: 0.8182886	total: 745ms	remaining: 12.3s
57:	learn: 0.8165842	total: 755ms	remaining: 12.3s
58:	learn: 0.8151978	total: 767ms	remaining: 12.2s
59:	learn: 0.8138548	total: 777ms	remaining: 12.2s
60:	learn: 0.8124431	total: 788ms	remaining: 12.1s
61:	learn: 0.8110060	total: 800ms	remaining: 12.1s
62:	learn: 0.8097045	total: 811ms	remaining: 12.1s
63:	learn: 0.8083277	total: 822ms	remaining: 12s
64:	learn: 0.8068256	total: 834ms	remaining: 12s
65:	learn: 0.8049719	total: 845ms	remaining: 12s
66:	learn: 0.8034318	total: 862ms	remaining: 12s
67:	learn: 0.8021759	total: 878ms	remaining: 12s
68:	learn: 0.8005397	total: 890ms	remaining: 12s
69:	learn: 0.7992164	total: 902ms	remaining: 12s
70:	learn: 0.7979140	total: 914ms	remaining: 12s
71:	learn: 0.7962030	total: 926ms	remaining: 11.9s
72:	learn: 0.7946520	total: 938ms	remaining: 11.9s
73:	learn: 0.7933108	total: 951ms	remaining: 11.9s
74:	learn: 0.7917923	total: 963ms	remaining: 11.9s
75:	learn: 0.7905047	total: 974ms	remaining: 11.8s
76:	learn: 0.7893994	total: 987ms	remaining: 11.8s
77:	learn: 0.7878970	total: 998ms	remaining: 11.8s
78:	learn: 0.7867751	total: 1.01s	remaining: 11.8s
79:	learn: 0.7852188	total: 1.02s	remaining: 11.7s
80:	learn: 0.7841006	total: 1.03s	remaining: 11.7s
81:	learn: 0.7831150	total: 1.04s	remaining: 11.7s
82:	learn: 0.7820977	total: 1.06s	remaining: 11.7s
83:	learn: 0.7806872	total: 1.07s	remaining: 11.6s
84:	learn: 0.7793464	total: 1.08s	remaining: 11.6s
85:	learn: 0.7783998	total: 1.09s	remaining: 11.6s
86:	learn: 0.7772920	total: 1.1s	remaining: 11.6s
87:	learn: 0.7760601	total: 1.11s	remaining: 11.5s
88:	learn: 0.7749938	total: 1.12s	remaining: 11.5s
89:	learn: 0.7739308	total: 1.14s	remaining: 11.5s
90:	learn: 0.7728879	total: 1.15s	remaining: 11.5s
91:	learn: 0.7714076	total: 1.16s	remaining: 11.4s
92:	learn: 0.7704763	total: 1.17s	remaining: 11.4s
93:	learn: 0.7694183	total: 1.19s	remaining: 11.5s
94:	learn: 0.7679489	total: 1.2s	remaining: 11.5s
95:	learn: 0.7669759	total: 1.22s	remaining: 11.5s
96:	learn: 0.7657882	total: 1.23s	remaining: 11.5s
97:	learn: 0.7648310	total: 1.25s	remaining: 11.5s
98:	learn: 0.7638236	total: 1.26s	remaining: 11.5s
99:	learn: 0.7629554	total: 1.27s	remaining: 11.5s
100:	learn: 0.7617519	total: 1.29s	remaining: 11.5s
101:	learn: 0.7607366	total: 1.3s	remaining: 11.4s
102:	learn: 0.7595749	total: 1.31s	remaining: 11.4s
103:	learn: 0.7586767	total: 1.32s	remaining: 11.4s
104:	learn: 0.7577449	total: 1.34s	remaining: 11.4s
105:	learn: 0.7566964	total: 1.35s	remaining: 11.4s
