0:	learn: 0.9561731	total: 62.7ms	remaining: 1m 2s
1:	learn: 0.9393856	total: 120ms	remaining: 59.8s
2:	learn: 0.9232729	total: 168ms	remaining: 55.9s
3:	learn: 0.9082148	total: 226ms	remaining: 56.4s
4:	learn: 0.8936636	total: 279ms	remaining: 55.5s
5:	learn: 0.8797646	total: 331ms	remaining: 54.8s
6:	learn: 0.8670180	total: 389ms	remaining: 55.1s
7:	learn: 0.8540570	total: 441ms	remaining: 54.7s
8:	learn: 0.8419096	total: 497ms	remaining: 54.7s
9:	learn: 0.8306085	total: 556ms	remaining: 55s
10:	learn: 0.8198265	total: 611ms	remaining: 54.9s
11:	learn: 0.8093502	total: 667ms	remaining: 54.9s
12:	learn: 0.7997322	total: 722ms	remaining: 54.8s
13:	learn: 0.7896522	total: 778ms	remaining: 54.8s
14:	learn: 0.7805257	total: 845ms	remaining: 55.5s
15:	learn: 0.7716352	total: 903ms	remaining: 55.5s
16:	learn: 0.7636516	total: 959ms	remaining: 55.5s
17:	learn: 0.7556628	total: 1.02s	remaining: 55.6s
18:	learn: 0.7480190	total: 1.08s	remaining: 55.8s
19:	learn: 0.7409348	total: 1.14s	remaining: 55.9s
20:	learn: 0.7332595	total: 1.2s	remaining: 55.8s
21:	learn: 0.7276530	total: 1.26s	remaining: 55.9s
22:	learn: 0.7212706	total: 1.32s	remaining: 56s
23:	learn: 0.7155993	total: 1.37s	remaining: 55.9s
24:	learn: 0.7107338	total: 1.42s	remaining: 55.4s
25:	learn: 0.7051704	total: 1.47s	remaining: 55.2s
26:	learn: 0.7001062	total: 1.52s	remaining: 55s
27:	learn: 0.6953513	total: 1.58s	remaining: 54.8s
28:	learn: 0.6908227	total: 1.63s	remaining: 54.5s
29:	learn: 0.6868606	total: 1.69s	remaining: 54.5s
30:	learn: 0.6824293	total: 1.74s	remaining: 54.4s
31:	learn: 0.6783748	total: 1.79s	remaining: 54.3s
32:	learn: 0.6741771	total: 1.85s	remaining: 54.2s
33:	learn: 0.6708908	total: 1.9s	remaining: 54.1s
34:	learn: 0.6661019	total: 1.96s	remaining: 54.1s
35:	learn: 0.6620413	total: 2.02s	remaining: 54.2s
36:	learn: 0.6589897	total: 2.1s	remaining: 54.6s
37:	learn: 0.6559233	total: 2.16s	remaining: 54.6s
38:	learn: 0.6525678	total: 2.22s	remaining: 54.7s
39:	learn: 0.6500084	total: 2.29s	remaining: 54.9s
40:	learn: 0.6469679	total: 2.35s	remaining: 54.9s
41:	learn: 0.6440714	total: 2.41s	remaining: 55s
42:	learn: 0.6414587	total: 2.47s	remaining: 54.9s
43:	learn: 0.6389595	total: 2.52s	remaining: 54.9s
44:	learn: 0.6366279	total: 2.58s	remaining: 54.9s
45:	learn: 0.6341650	total: 2.64s	remaining: 54.8s
46:	learn: 0.6314700	total: 2.7s	remaining: 54.7s
47:	learn: 0.6286174	total: 2.76s	remaining: 54.7s
48:	learn: 0.6266374	total: 2.81s	remaining: 54.6s
49:	learn: 0.6253512	total: 2.87s	remaining: 54.6s
50:	learn: 0.6234071	total: 2.94s	remaining: 54.6s
51:	learn: 0.6219312	total: 2.99s	remaining: 54.6s
52:	learn: 0.6200673	total: 3.04s	remaining: 54.4s
53:	learn: 0.6181188	total: 3.1s	remaining: 54.3s
54:	learn: 0.6162817	total: 3.16s	remaining: 54.3s
