0:	learn: 0.9658180	total: 128ms	remaining: 2m 7s
1:	learn: 0.9580997	total: 265ms	remaining: 2m 12s
2:	learn: 0.9505219	total: 403ms	remaining: 2m 14s
3:	learn: 0.9429597	total: 530ms	remaining: 2m 12s
4:	learn: 0.9359660	total: 649ms	remaining: 2m 9s
5:	learn: 0.9286300	total: 764ms	remaining: 2m 6s
6:	learn: 0.9217389	total: 884ms	remaining: 2m 5s
7:	learn: 0.9148225	total: 1.01s	remaining: 2m 5s
8:	learn: 0.9078867	total: 1.14s	remaining: 2m 5s
9:	learn: 0.9015041	total: 1.27s	remaining: 2m 5s
10:	learn: 0.8948588	total: 1.4s	remaining: 2m 5s
11:	learn: 0.8887392	total: 1.51s	remaining: 2m 4s
12:	learn: 0.8828315	total: 1.64s	remaining: 2m 4s
13:	learn: 0.8770886	total: 1.76s	remaining: 2m 4s
14:	learn: 0.8712933	total: 1.9s	remaining: 2m 4s
15:	learn: 0.8653303	total: 2s	remaining: 2m 3s
16:	learn: 0.8597590	total: 2.11s	remaining: 2m 1s
17:	learn: 0.8545308	total: 2.23s	remaining: 2m 1s
18:	learn: 0.8491451	total: 2.35s	remaining: 2m 1s
19:	learn: 0.8437032	total: 2.46s	remaining: 2m
20:	learn: 0.8382550	total: 2.59s	remaining: 2m
21:	learn: 0.8333099	total: 2.72s	remaining: 2m
22:	learn: 0.8281978	total: 2.85s	remaining: 2m 1s
23:	learn: 0.8236262	total: 2.96s	remaining: 2m
24:	learn: 0.8190235	total: 3.06s	remaining: 1m 59s
25:	learn: 0.8144074	total: 3.18s	remaining: 1m 59s
26:	learn: 0.8099918	total: 3.3s	remaining: 1m 58s
27:	learn: 0.8052508	total: 3.41s	remaining: 1m 58s
28:	learn: 0.8008092	total: 3.53s	remaining: 1m 58s
29:	learn: 0.7963229	total: 3.65s	remaining: 1m 57s
30:	learn: 0.7922049	total: 3.75s	remaining: 1m 57s
31:	learn: 0.7879250	total: 3.85s	remaining: 1m 56s
32:	learn: 0.7837531	total: 3.96s	remaining: 1m 55s
33:	learn: 0.7798889	total: 4.06s	remaining: 1m 55s
34:	learn: 0.7760657	total: 4.17s	remaining: 1m 54s
35:	learn: 0.7724998	total: 4.27s	remaining: 1m 54s
36:	learn: 0.7688641	total: 4.37s	remaining: 1m 53s
37:	learn: 0.7656132	total: 4.48s	remaining: 1m 53s
38:	learn: 0.7620629	total: 4.58s	remaining: 1m 52s
39:	learn: 0.7585459	total: 4.69s	remaining: 1m 52s
40:	learn: 0.7549676	total: 4.81s	remaining: 1m 52s
41:	learn: 0.7518178	total: 4.93s	remaining: 1m 52s
42:	learn: 0.7485148	total: 5.04s	remaining: 1m 52s
43:	learn: 0.7452109	total: 5.15s	remaining: 1m 51s
44:	learn: 0.7420630	total: 5.26s	remaining: 1m 51s
45:	learn: 0.7390364	total: 5.35s	remaining: 1m 50s
46:	learn: 0.7359815	total: 5.44s	remaining: 1m 50s
47:	learn: 0.7335509	total: 5.54s	remaining: 1m 49s
48:	learn: 0.7306860	total: 5.64s	remaining: 1m 49s
49:	learn: 0.7279549	total: 5.73s	remaining: 1m 48s
50:	learn: 0.7250084	total: 5.81s	remaining: 1m 48s
51:	learn: 0.7223288	total: 5.91s	remaining: 1m 47s
52:	learn: 0.7199700	total: 6.01s	remaining: 1m 47s
53:	learn: 0.7174316	total: 6.1s	remaining: 1m 46s
54:	learn: 0.7149569	total: 6.2s	remaining: 1m 46s
55:	learn: 0.7121656	total: 6.31s	remaining: 1m 46s
56:	learn: 0.7094569	total: 6.4s	remaining: 1m 45s
57:	learn: 0.7067476	total: 6.49s	remaining: 1m 45s
58:	learn: 0.7042091	total: 6.58s	remaining: 1m 44s
59:	learn: 0.7018872	total: 6.67s	remaining: 1m 44s
60:	learn: 0.6995809	total: 6.78s	remaining: 1m 44s
61:	learn: 0.6972155	total: 6.87s	remaining: 1m 43s
