0:	learn: 0.9519229	total: 170ms	remaining: 2m 49s
1:	learn: 0.9335543	total: 215ms	remaining: 1m 47s
2:	learn: 0.9149159	total: 228ms	remaining: 1m 15s
3:	learn: 0.8963445	total: 242ms	remaining: 1m
4:	learn: 0.8832682	total: 257ms	remaining: 51.1s
5:	learn: 0.8700960	total: 270ms	remaining: 44.8s
6:	learn: 0.8592807	total: 283ms	remaining: 40.1s
7:	learn: 0.8476932	total: 298ms	remaining: 36.9s
8:	learn: 0.8386692	total: 310ms	remaining: 34.1s
9:	learn: 0.8282208	total: 323ms	remaining: 32s
10:	learn: 0.8183690	total: 336ms	remaining: 30.2s
11:	learn: 0.8090307	total: 349ms	remaining: 28.7s
12:	learn: 0.7988322	total: 362ms	remaining: 27.5s
13:	learn: 0.7908154	total: 376ms	remaining: 26.5s
14:	learn: 0.7842494	total: 391ms	remaining: 25.7s
15:	learn: 0.7767869	total: 404ms	remaining: 24.9s
16:	learn: 0.7718084	total: 416ms	remaining: 24.1s
17:	learn: 0.7664197	total: 436ms	remaining: 23.8s
18:	learn: 0.7580129	total: 449ms	remaining: 23.2s
19:	learn: 0.7537972	total: 463ms	remaining: 22.7s
20:	learn: 0.7496586	total: 492ms	remaining: 22.9s
21:	learn: 0.7459788	total: 504ms	remaining: 22.4s
22:	learn: 0.7419515	total: 515ms	remaining: 21.9s
23:	learn: 0.7386057	total: 530ms	remaining: 21.5s
24:	learn: 0.7319554	total: 543ms	remaining: 21.2s
25:	learn: 0.7255440	total: 555ms	remaining: 20.8s
26:	learn: 0.7211159	total: 569ms	remaining: 20.5s
27:	learn: 0.7168393	total: 582ms	remaining: 20.2s
28:	learn: 0.7140790	total: 596ms	remaining: 20s
29:	learn: 0.7099608	total: 611ms	remaining: 19.8s
30:	learn: 0.7063448	total: 624ms	remaining: 19.5s
31:	learn: 0.7038671	total: 643ms	remaining: 19.5s
32:	learn: 0.7011260	total: 655ms	remaining: 19.2s
33:	learn: 0.6986135	total: 671ms	remaining: 19.1s
34:	learn: 0.6964865	total: 703ms	remaining: 19.4s
35:	learn: 0.6931010	total: 716ms	remaining: 19.2s
36:	learn: 0.6911687	total: 736ms	remaining: 19.1s
37:	learn: 0.6887345	total: 749ms	remaining: 19s
38:	learn: 0.6869481	total: 762ms	remaining: 18.8s
39:	learn: 0.6840671	total: 775ms	remaining: 18.6s
40:	learn: 0.6797879	total: 787ms	remaining: 18.4s
41:	learn: 0.6779881	total: 803ms	remaining: 18.3s
42:	learn: 0.6757094	total: 822ms	remaining: 18.3s
43:	learn: 0.6738348	total: 836ms	remaining: 18.2s
44:	learn: 0.6717655	total: 850ms	remaining: 18s
45:	learn: 0.6682980	total: 863ms	remaining: 17.9s
46:	learn: 0.6663920	total: 879ms	remaining: 17.8s
47:	learn: 0.6652016	total: 894ms	remaining: 17.7s
48:	learn: 0.6640053	total: 908ms	remaining: 17.6s
49:	learn: 0.6617614	total: 921ms	remaining: 17.5s
50:	learn: 0.6603634	total: 935ms	remaining: 17.4s
51:	learn: 0.6587683	total: 945ms	remaining: 17.2s
52:	learn: 0.6576715	total: 959ms	remaining: 17.1s
53:	learn: 0.6557377	total: 970ms	remaining: 17s
54:	learn: 0.6546436	total: 983ms	remaining: 16.9s
55:	learn: 0.6530320	total: 993ms	remaining: 16.7s
56:	learn: 0.6508702	total: 1.01s	remaining: 16.7s
57:	learn: 0.6489290	total: 1.02s	remaining: 16.6s
58:	learn: 0.6480548	total: 1.04s	remaining: 16.5s
59:	learn: 0.6467050	total: 1.05s	remaining: 16.4s
60:	learn: 0.6455496	total: 1.06s	remaining: 16.3s
61:	learn: 0.6447455	total: 1.07s	remaining: 16.2s
62:	learn: 0.6432288	total: 1.09s	remaining: 16.2s
63:	learn: 0.6423695	total: 1.1s	remaining: 16.1s
64:	learn: 0.6413617	total: 1.11s	remaining: 16s
65:	learn: 0.6397125	total: 1.12s	remaining: 15.9s
66:	learn: 0.6386316	total: 1.14s	remaining: 15.8s
67:	learn: 0.6379740	total: 1.15s	remaining: 15.8s
68:	learn: 0.6372464	total: 1.16s	remaining: 15.7s
69:	learn: 0.6359556	total: 1.17s	remaining: 15.6s
70:	learn: 0.6349831	total: 1.19s	remaining: 15.5s
71:	learn: 0.6342127	total: 1.23s	remaining: 15.9s
72:	learn: 0.6324760	total: 1.24s	remaining: 15.8s
73:	learn: 0.6312130	total: 1.25s	remaining: 15.7s
74:	learn: 0.6294316	total: 1.27s	remaining: 15.7s
75:	learn: 0.6273066	total: 1.28s	remaining: 15.6s
76:	learn: 0.6267172	total: 1.29s	remaining: 15.5s
77:	learn: 0.6254195	total: 1.3s	remaining: 15.4s
78:	learn: 0.6235232	total: 1.32s	remaining: 15.4s
79:	learn: 0.6228301	total: 1.33s	remaining: 15.3s
80:	learn: 0.6219083	total: 1.35s	remaining: 15.3s
81:	learn: 0.6208703	total: 1.36s	remaining: 15.3s
82:	learn: 0.6201766	total: 1.38s	remaining: 15.3s
83:	learn: 0.6186575	total: 1.4s	remaining: 15.2s
84:	learn: 0.6182734	total: 1.42s	remaining: 15.3s
85:	learn: 0.6174095	total: 1.43s	remaining: 15.2s
86:	learn: 0.6164463	total: 1.45s	remaining: 15.2s
87:	learn: 0.6155344	total: 1.46s	remaining: 15.2s
88:	learn: 0.6149889	total: 1.48s	remaining: 15.2s
89:	learn: 0.6143035	total: 1.51s	remaining: 15.2s
90:	learn: 0.6134380	total: 1.53s	remaining: 15.3s
91:	learn: 0.6128739	total: 1.54s	remaining: 15.3s
92:	learn: 0.6122397	total: 1.56s	remaining: 15.2s
93:	learn: 0.6112023	total: 1.57s	remaining: 15.2s
94:	learn: 0.6104056	total: 1.6s	remaining: 15.3s
95:	learn: 0.6097348	total: 1.62s	remaining: 15.2s
96:	learn: 0.6090870	total: 1.63s	remaining: 15.2s
97:	learn: 0.6087208	total: 1.65s	remaining: 15.2s
98:	learn: 0.6078580	total: 1.66s	remaining: 15.1s
99:	learn: 0.6071457	total: 1.69s	remaining: 15.2s
100:	learn: 0.6062729	total: 1.71s	remaining: 15.2s
101:	learn: 0.6054612	total: 1.72s	remaining: 15.2s
102:	learn: 0.6045923	total: 1.74s	remaining: 15.2s
103:	learn: 0.6036386	total: 1.75s	remaining: 15.1s
104:	learn: 0.6028550	total: 1.77s	remaining: 15.1s
105:	learn: 0.6022019	total: 1.78s	remaining: 15s
106:	learn: 0.6011401	total: 1.8s	remaining: 15s
107:	learn: 0.6001470	total: 1.81s	remaining: 15s
108:	learn: 0.5997004	total: 1.83s	remaining: 15s
109:	learn: 0.5990297	total: 1.85s	remaining: 15s
110:	learn: 0.5980827	total: 1.86s	remaining: 14.9s
111:	learn: 0.5976946	total: 1.88s	remaining: 14.9s
112:	learn: 0.5973308	total: 1.89s	remaining: 14.9s
113:	learn: 0.5969108	total: 1.91s	remaining: 14.8s
114:	learn: 0.5965981	total: 1.93s	remaining: 14.8s
115:	learn: 0.5960013	total: 1.94s	remaining: 14.8s
116:	learn: 0.5954386	total: 1.96s	remaining: 14.8s
117:	learn: 0.5949286	total: 1.99s	remaining: 14.8s
118:	learn: 0.5946465	total: 2.01s	remaining: 14.9s
119:	learn: 0.5943082	total: 2.03s	remaining: 14.9s
120:	learn: 0.5939576	total: 2.04s	remaining: 14.9s
121:	learn: 0.5936415	total: 2.06s	remaining: 14.8s
122:	learn: 0.5930888	total: 2.08s	remaining: 14.8s
123:	learn: 0.5924565	total: 2.1s	remaining: 14.8s
124:	learn: 0.5918086	total: 2.11s	remaining: 14.8s
125:	learn: 0.5913233	total: 2.13s	remaining: 14.8s
126:	learn: 0.5908009	total: 2.17s	remaining: 14.9s
127:	learn: 0.5900500	total: 2.21s	remaining: 15.1s
128:	learn: 0.5898351	total: 2.23s	remaining: 15s
129:	learn: 0.5890200	total: 2.24s	remaining: 15s
130:	learn: 0.5885104	total: 2.26s	remaining: 15s
131:	learn: 0.5872740	total: 2.27s	remaining: 15s
132:	learn: 0.5866984	total: 2.29s	remaining: 14.9s
133:	learn: 0.5861980	total: 2.3s	remaining: 14.9s
134:	learn: 0.5854568	total: 2.32s	remaining: 14.8s
135:	learn: 0.5849265	total: 2.33s	remaining: 14.8s
136:	learn: 0.5840014	total: 2.34s	remaining: 14.7s
137:	learn: 0.5831657	total: 2.35s	remaining: 14.7s
138:	learn: 0.5828115	total: 2.37s	remaining: 14.7s
139:	learn: 0.5822575	total: 2.38s	remaining: 14.6s
140:	learn: 0.5816781	total: 2.39s	remaining: 14.6s
141:	learn: 0.5812828	total: 2.4s	remaining: 14.5s
142:	learn: 0.5804678	total: 2.42s	remaining: 14.5s
143:	learn: 0.5797689	total: 2.43s	remaining: 14.4s
144:	learn: 0.5795006	total: 2.46s	remaining: 14.5s
145:	learn: 0.5790421	total: 2.47s	remaining: 14.4s
146:	learn: 0.5785210	total: 2.48s	remaining: 14.4s
147:	learn: 0.5779658	total: 2.49s	remaining: 14.3s
148:	learn: 0.5775522	total: 2.5s	remaining: 14.3s
149:	learn: 0.5767449	total: 2.51s	remaining: 14.2s
150:	learn: 0.5756286	total: 2.53s	remaining: 14.2s
151:	learn: 0.5751826	total: 2.54s	remaining: 14.2s
152:	learn: 0.5748558	total: 2.55s	remaining: 14.1s
153:	learn: 0.5742672	total: 2.56s	remaining: 14.1s
154:	learn: 0.5734405	total: 2.58s	remaining: 14.1s
155:	learn: 0.5729269	total: 2.59s	remaining: 14s
156:	learn: 0.5728401	total: 2.6s	remaining: 14s
157:	learn: 0.5724616	total: 2.61s	remaining: 13.9s
158:	learn: 0.5721606	total: 2.63s	remaining: 13.9s
159:	learn: 0.5711497	total: 2.64s	remaining: 13.9s
160:	learn: 0.5706813	total: 2.65s	remaining: 13.8s
161:	learn: 0.5702625	total: 2.67s	remaining: 13.8s
162:	learn: 0.5698777	total: 2.68s	remaining: 13.8s
163:	learn: 0.5697355	total: 2.69s	remaining: 13.7s
164:	learn: 0.5693663	total: 2.7s	remaining: 13.7s
165:	learn: 0.5690113	total: 2.72s	remaining: 13.6s
166:	learn: 0.5686106	total: 2.73s	remaining: 13.6s
167:	learn: 0.5674280	total: 2.74s	remaining: 13.6s
168:	learn: 0.5670211	total: 2.75s	remaining: 13.5s
169:	learn: 0.5666177	total: 2.77s	remaining: 13.5s
170:	learn: 0.5665041	total: 2.78s	remaining: 13.5s
171:	learn: 0.5664715	total: 2.79s	remaining: 13.5s
172:	learn: 0.5659959	total: 2.81s	remaining: 13.4s
173:	learn: 0.5656205	total: 2.82s	remaining: 13.4s
174:	learn: 0.5655703	total: 2.83s	remaining: 13.4s
175:	learn: 0.5650446	total: 2.84s	remaining: 13.3s
176:	learn: 0.5649954	total: 2.86s	remaining: 13.3s
177:	learn: 0.5647129	total: 2.87s	remaining: 13.2s
178:	learn: 0.5639059	total: 2.88s	remaining: 13.2s
179:	learn: 0.5634630	total: 2.9s	remaining: 13.2s
180:	learn: 0.5631982	total: 2.91s	remaining: 13.2s
181:	learn: 0.5626745	total: 2.92s	remaining: 13.1s
182:	learn: 0.5623661	total: 2.94s	remaining: 13.1s
183:	learn: 0.5620541	total: 2.95s	remaining: 13.1s
184:	learn: 0.5618781	total: 2.96s	remaining: 13.1s
185:	learn: 0.5616226	total: 2.98s	remaining: 13s
186:	learn: 0.5611245	total: 2.99s	remaining: 13s
187:	learn: 0.5607705	total: 3.01s	remaining: 13s
188:	learn: 0.5605121	total: 3.02s	remaining: 12.9s
189:	learn: 0.5602538	total: 3.04s	remaining: 13s
190:	learn: 0.5600321	total: 3.06s	remaining: 12.9s
191:	learn: 0.5595779	total: 3.07s	remaining: 12.9s
192:	learn: 0.5588710	total: 3.08s	remaining: 12.9s
193:	learn: 0.5585052	total: 3.09s	remaining: 12.9s
194:	learn: 0.5581344	total: 3.11s	remaining: 12.8s
195:	learn: 0.5577847	total: 3.12s	remaining: 12.8s
196:	learn: 0.5574992	total: 3.13s	remaining: 12.8s
197:	learn: 0.5571033	total: 3.15s	remaining: 12.7s
198:	learn: 0.5565311	total: 3.16s	remaining: 12.7s
199:	learn: 0.5562274	total: 3.17s	remaining: 12.7s
200:	learn: 0.5557144	total: 3.18s	remaining: 12.7s
201:	learn: 0.5554769	total: 3.19s	remaining: 12.6s
202:	learn: 0.5552637	total: 3.21s	remaining: 12.6s
203:	learn: 0.5548173	total: 3.22s	remaining: 12.6s
204:	learn: 0.5544022	total: 3.24s	remaining: 12.6s
205:	learn: 0.5540327	total: 3.25s	remaining: 12.5s
206:	learn: 0.5537510	total: 3.26s	remaining: 12.5s
207:	learn: 0.5533952	total: 3.28s	remaining: 12.5s
208:	learn: 0.5529936	total: 3.29s	remaining: 12.4s
209:	learn: 0.5522996	total: 3.3s	remaining: 12.4s
210:	learn: 0.5519087	total: 3.31s	remaining: 12.4s
211:	learn: 0.5516657	total: 3.33s	remaining: 12.4s
212:	learn: 0.5512704	total: 3.34s	remaining: 12.3s
213:	learn: 0.5503790	total: 3.35s	remaining: 12.3s
214:	learn: 0.5500631	total: 3.36s	remaining: 12.3s
215:	learn: 0.5498142	total: 3.37s	remaining: 12.2s
216:	learn: 0.5494612	total: 3.38s	remaining: 12.2s
217:	learn: 0.5488266	total: 3.4s	remaining: 12.2s
218:	learn: 0.5484278	total: 3.41s	remaining: 12.2s
219:	learn: 0.5480955	total: 3.42s	remaining: 12.1s
220:	learn: 0.5477797	total: 3.43s	remaining: 12.1s
221:	learn: 0.5473689	total: 3.45s	remaining: 12.1s
222:	learn: 0.5470540	total: 3.46s	remaining: 12s
223:	learn: 0.5467926	total: 3.47s	remaining: 12s
224:	learn: 0.5463179	total: 3.5s	remaining: 12.1s
225:	learn: 0.5460236	total: 3.51s	remaining: 12s
226:	learn: 0.5457575	total: 3.52s	remaining: 12s
227:	learn: 0.5452493	total: 3.54s	remaining: 12s
228:	learn: 0.5449786	total: 3.55s	remaining: 12s
229:	learn: 0.5447072	total: 3.56s	remaining: 11.9s
230:	learn: 0.5443723	total: 3.58s	remaining: 11.9s
231:	learn: 0.5440216	total: 3.59s	remaining: 11.9s
232:	learn: 0.5438665	total: 3.6s	remaining: 11.9s
233:	learn: 0.5435785	total: 3.61s	remaining: 11.8s
234:	learn: 0.5432691	total: 3.62s	remaining: 11.8s
235:	learn: 0.5429729	total: 3.63s	remaining: 11.8s
236:	learn: 0.5427803	total: 3.65s	remaining: 11.7s
237:	learn: 0.5425870	total: 3.66s	remaining: 11.7s
238:	learn: 0.5422377	total: 3.67s	remaining: 11.7s
239:	learn: 0.5418692	total: 3.68s	remaining: 11.7s
240:	learn: 0.5418273	total: 3.69s	remaining: 11.6s
241:	learn: 0.5416070	total: 3.71s	remaining: 11.6s
242:	learn: 0.5414881	total: 3.72s	remaining: 11.6s
243:	learn: 0.5411274	total: 3.73s	remaining: 11.6s
244:	learn: 0.5409869	total: 3.74s	remaining: 11.5s
245:	learn: 0.5407704	total: 3.75s	remaining: 11.5s
246:	learn: 0.5404860	total: 3.77s	remaining: 11.5s
247:	learn: 0.5402826	total: 3.78s	remaining: 11.5s
248:	learn: 0.5399914	total: 3.79s	remaining: 11.4s
249:	learn: 0.5396667	total: 3.81s	remaining: 11.4s
250:	learn: 0.5394007	total: 3.82s	remaining: 11.4s
251:	learn: 0.5391805	total: 3.83s	remaining: 11.4s
252:	learn: 0.5387443	total: 3.85s	remaining: 11.4s
253:	learn: 0.5382568	total: 3.86s	remaining: 11.3s
254:	learn: 0.5381120	total: 3.87s	remaining: 11.3s
