0:	learn: 0.9721438	total: 13.6ms	remaining: 27.2s
1:	learn: 0.9702120	total: 26.2ms	remaining: 26.1s
2:	learn: 0.9681028	total: 39ms	remaining: 25.9s
3:	learn: 0.9659440	total: 51.7ms	remaining: 25.8s
4:	learn: 0.9637918	total: 65ms	remaining: 25.9s
5:	learn: 0.9615655	total: 76.9ms	remaining: 25.5s
6:	learn: 0.9597712	total: 89.2ms	remaining: 25.4s
7:	learn: 0.9579506	total: 101ms	remaining: 25.2s
8:	learn: 0.9559639	total: 113ms	remaining: 25s
9:	learn: 0.9540291	total: 126ms	remaining: 25s
10:	learn: 0.9520706	total: 138ms	remaining: 25s
11:	learn: 0.9504726	total: 151ms	remaining: 24.9s
12:	learn: 0.9484124	total: 163ms	remaining: 24.9s
13:	learn: 0.9463898	total: 176ms	remaining: 24.9s
14:	learn: 0.9447896	total: 188ms	remaining: 24.9s
15:	learn: 0.9429713	total: 201ms	remaining: 25s
16:	learn: 0.9408690	total: 214ms	remaining: 25s
17:	learn: 0.9392958	total: 227ms	remaining: 25s
18:	learn: 0.9373486	total: 239ms	remaining: 24.9s
19:	learn: 0.9356109	total: 253ms	remaining: 25.1s
20:	learn: 0.9341033	total: 267ms	remaining: 25.1s
21:	learn: 0.9323746	total: 282ms	remaining: 25.4s
22:	learn: 0.9304243	total: 295ms	remaining: 25.4s
23:	learn: 0.9285317	total: 308ms	remaining: 25.3s
24:	learn: 0.9265854	total: 321ms	remaining: 25.3s
25:	learn: 0.9249140	total: 333ms	remaining: 25.3s
26:	learn: 0.9230032	total: 347ms	remaining: 25.3s
27:	learn: 0.9211012	total: 360ms	remaining: 25.4s
28:	learn: 0.9194642	total: 373ms	remaining: 25.3s
29:	learn: 0.9176190	total: 386ms	remaining: 25.3s
30:	learn: 0.9157812	total: 399ms	remaining: 25.4s
31:	learn: 0.9141413	total: 413ms	remaining: 25.4s
32:	learn: 0.9124044	total: 426ms	remaining: 25.4s
33:	learn: 0.9105370	total: 439ms	remaining: 25.4s
34:	learn: 0.9087258	total: 453ms	remaining: 25.4s
35:	learn: 0.9069551	total: 465ms	remaining: 25.4s
36:	learn: 0.9051326	total: 478ms	remaining: 25.4s
37:	learn: 0.9037452	total: 491ms	remaining: 25.4s
38:	learn: 0.9019598	total: 505ms	remaining: 25.4s
39:	learn: 0.9002869	total: 518ms	remaining: 25.4s
40:	learn: 0.8988645	total: 531ms	remaining: 25.4s
41:	learn: 0.8975936	total: 544ms	remaining: 25.4s
42:	learn: 0.8959504	total: 559ms	remaining: 25.4s
43:	learn: 0.8945483	total: 572ms	remaining: 25.4s
44:	learn: 0.8932024	total: 586ms	remaining: 25.5s
45:	learn: 0.8919631	total: 599ms	remaining: 25.5s
46:	learn: 0.8904450	total: 613ms	remaining: 25.5s
47:	learn: 0.8889426	total: 627ms	remaining: 25.5s
48:	learn: 0.8874697	total: 642ms	remaining: 25.6s
49:	learn: 0.8858834	total: 658ms	remaining: 25.7s
50:	learn: 0.8842565	total: 674ms	remaining: 25.8s
51:	learn: 0.8826002	total: 688ms	remaining: 25.8s
52:	learn: 0.8813790	total: 701ms	remaining: 25.7s
53:	learn: 0.8800217	total: 716ms	remaining: 25.8s
54:	learn: 0.8784607	total: 730ms	remaining: 25.8s
55:	learn: 0.8768570	total: 745ms	remaining: 25.9s
56:	learn: 0.8756641	total: 758ms	remaining: 25.8s
57:	learn: 0.8741741	total: 772ms	remaining: 25.9s
58:	learn: 0.8726885	total: 787ms	remaining: 25.9s
59:	learn: 0.8712973	total: 800ms	remaining: 25.9s
60:	learn: 0.8698702	total: 813ms	remaining: 25.9s
61:	learn: 0.8683763	total: 827ms	remaining: 25.9s
62:	learn: 0.8669003	total: 841ms	remaining: 25.9s
63:	learn: 0.8655485	total: 856ms	remaining: 25.9s
64:	learn: 0.8640709	total: 871ms	remaining: 25.9s
65:	learn: 0.8629848	total: 884ms	remaining: 25.9s
66:	learn: 0.8616322	total: 898ms	remaining: 25.9s
67:	learn: 0.8603744	total: 911ms	remaining: 25.9s
68:	learn: 0.8589596	total: 925ms	remaining: 25.9s
69:	learn: 0.8579580	total: 938ms	remaining: 25.9s
70:	learn: 0.8566313	total: 952ms	remaining: 25.9s
71:	learn: 0.8552316	total: 967ms	remaining: 25.9s
72:	learn: 0.8538709	total: 981ms	remaining: 25.9s
73:	learn: 0.8524864	total: 996ms	remaining: 25.9s
74:	learn: 0.8511050	total: 1.01s	remaining: 25.9s
75:	learn: 0.8498153	total: 1.02s	remaining: 25.9s
76:	learn: 0.8484877	total: 1.04s	remaining: 25.9s
77:	learn: 0.8472359	total: 1.05s	remaining: 25.9s
78:	learn: 0.8462624	total: 1.06s	remaining: 25.9s
79:	learn: 0.8451265	total: 1.08s	remaining: 25.9s
80:	learn: 0.8438807	total: 1.09s	remaining: 25.9s
81:	learn: 0.8426026	total: 1.11s	remaining: 25.9s
82:	learn: 0.8414719	total: 1.12s	remaining: 25.9s
