0:	learn: 0.9580517	total: 23.3ms	remaining: 46.6s
1:	learn: 0.9424685	total: 52.3ms	remaining: 52.3s
2:	learn: 0.9266135	total: 68.4ms	remaining: 45.5s
3:	learn: 0.9122234	total: 83.5ms	remaining: 41.7s
4:	learn: 0.9004640	total: 100ms	remaining: 39.9s
5:	learn: 0.8890714	total: 115ms	remaining: 38.2s
6:	learn: 0.8753261	total: 130ms	remaining: 37s
7:	learn: 0.8645810	total: 157ms	remaining: 39.2s
8:	learn: 0.8528191	total: 175ms	remaining: 38.7s
9:	learn: 0.8417555	total: 190ms	remaining: 37.8s
10:	learn: 0.8332580	total: 205ms	remaining: 37.1s
11:	learn: 0.8261468	total: 221ms	remaining: 36.6s
12:	learn: 0.8178083	total: 235ms	remaining: 36s
13:	learn: 0.8093652	total: 251ms	remaining: 35.6s
14:	learn: 0.8017253	total: 267ms	remaining: 35.4s
15:	learn: 0.7939727	total: 283ms	remaining: 35.1s
16:	learn: 0.7884315	total: 299ms	remaining: 34.8s
17:	learn: 0.7815023	total: 314ms	remaining: 34.6s
18:	learn: 0.7752340	total: 329ms	remaining: 34.3s
19:	learn: 0.7707207	total: 344ms	remaining: 34.1s
20:	learn: 0.7654879	total: 359ms	remaining: 33.8s
21:	learn: 0.7608282	total: 374ms	remaining: 33.7s
22:	learn: 0.7568352	total: 389ms	remaining: 33.4s
23:	learn: 0.7513445	total: 403ms	remaining: 33.2s
24:	learn: 0.7475551	total: 419ms	remaining: 33.1s
25:	learn: 0.7438967	total: 433ms	remaining: 32.9s
26:	learn: 0.7405270	total: 448ms	remaining: 32.8s
27:	learn: 0.7367015	total: 463ms	remaining: 32.6s
28:	learn: 0.7337797	total: 478ms	remaining: 32.5s
29:	learn: 0.7292084	total: 494ms	remaining: 32.4s
30:	learn: 0.7257953	total: 510ms	remaining: 32.4s
31:	learn: 0.7228084	total: 525ms	remaining: 32.3s
32:	learn: 0.7204922	total: 540ms	remaining: 32.2s
33:	learn: 0.7177174	total: 557ms	remaining: 32.2s
34:	learn: 0.7136276	total: 571ms	remaining: 32.1s
35:	learn: 0.7103590	total: 586ms	remaining: 32s
36:	learn: 0.7080919	total: 603ms	remaining: 32s
37:	learn: 0.7056956	total: 618ms	remaining: 31.9s
38:	learn: 0.7036171	total: 635ms	remaining: 31.9s
39:	learn: 0.7009406	total: 650ms	remaining: 31.8s
40:	learn: 0.6989491	total: 665ms	remaining: 31.8s
41:	learn: 0.6971273	total: 680ms	remaining: 31.7s
42:	learn: 0.6936540	total: 695ms	remaining: 31.6s
43:	learn: 0.6908591	total: 712ms	remaining: 31.6s
44:	learn: 0.6892443	total: 727ms	remaining: 31.6s
45:	learn: 0.6872471	total: 742ms	remaining: 31.5s
46:	learn: 0.6844466	total: 758ms	remaining: 31.5s
47:	learn: 0.6826811	total: 777ms	remaining: 31.6s
48:	learn: 0.6811200	total: 793ms	remaining: 31.6s
49:	learn: 0.6783876	total: 807ms	remaining: 31.5s
50:	learn: 0.6768472	total: 822ms	remaining: 31.4s
51:	learn: 0.6755024	total: 837ms	remaining: 31.4s
52:	learn: 0.6735710	total: 853ms	remaining: 31.4s
53:	learn: 0.6714684	total: 869ms	remaining: 31.3s
54:	learn: 0.6699219	total: 887ms	remaining: 31.4s
55:	learn: 0.6687233	total: 902ms	remaining: 31.3s
56:	learn: 0.6675039	total: 918ms	remaining: 31.3s
57:	learn: 0.6664477	total: 934ms	remaining: 31.3s
58:	learn: 0.6648635	total: 952ms	remaining: 31.3s
59:	learn: 0.6636403	total: 968ms	remaining: 31.3s
60:	learn: 0.6623487	total: 988ms	remaining: 31.4s
61:	learn: 0.6615078	total: 1s	remaining: 31.4s
62:	learn: 0.6594035	total: 1.02s	remaining: 31.3s
63:	learn: 0.6581385	total: 1.03s	remaining: 31.3s
64:	learn: 0.6570903	total: 1.05s	remaining: 31.3s
65:	learn: 0.6562666	total: 1.07s	remaining: 31.2s
66:	learn: 0.6552363	total: 1.08s	remaining: 31.2s
67:	learn: 0.6542097	total: 1.1s	remaining: 31.2s
68:	learn: 0.6528277	total: 1.11s	remaining: 31.2s
69:	learn: 0.6504423	total: 1.13s	remaining: 31.2s
70:	learn: 0.6495790	total: 1.15s	remaining: 31.3s
71:	learn: 0.6482214	total: 1.17s	remaining: 31.4s
72:	learn: 0.6475295	total: 1.19s	remaining: 31.5s
73:	learn: 0.6465746	total: 1.21s	remaining: 31.5s
74:	learn: 0.6458252	total: 1.23s	remaining: 31.7s
75:	learn: 0.6451987	total: 1.26s	remaining: 31.9s
76:	learn: 0.6433372	total: 1.28s	remaining: 32s
77:	learn: 0.6418926	total: 1.3s	remaining: 32.1s
78:	learn: 0.6410377	total: 1.32s	remaining: 32.1s
79:	learn: 0.6400063	total: 1.34s	remaining: 32.2s
80:	learn: 0.6390252	total: 1.36s	remaining: 32.3s
81:	learn: 0.6381298	total: 1.38s	remaining: 32.3s
82:	learn: 0.6362289	total: 1.4s	remaining: 32.4s
83:	learn: 0.6353310	total: 1.42s	remaining: 32.5s
84:	learn: 0.6348047	total: 1.44s	remaining: 32.5s
85:	learn: 0.6337223	total: 1.46s	remaining: 32.5s
86:	learn: 0.6321896	total: 1.48s	remaining: 32.4s
87:	learn: 0.6315250	total: 1.49s	remaining: 32.4s
88:	learn: 0.6307901	total: 1.51s	remaining: 32.4s
89:	learn: 0.6300101	total: 1.53s	remaining: 32.4s
90:	learn: 0.6290359	total: 1.54s	remaining: 32.4s
91:	learn: 0.6274379	total: 1.56s	remaining: 32.4s
92:	learn: 0.6266739	total: 1.58s	remaining: 32.4s
93:	learn: 0.6255686	total: 1.59s	remaining: 32.3s
94:	learn: 0.6237671	total: 1.61s	remaining: 32.3s
95:	learn: 0.6227685	total: 1.63s	remaining: 32.3s
96:	learn: 0.6217621	total: 1.65s	remaining: 32.3s
97:	learn: 0.6211428	total: 1.66s	remaining: 32.3s
98:	learn: 0.6207040	total: 1.68s	remaining: 32.2s
99:	learn: 0.6198303	total: 1.69s	remaining: 32.2s
100:	learn: 0.6184866	total: 1.71s	remaining: 32.1s
101:	learn: 0.6181094	total: 1.72s	remaining: 32.1s
102:	learn: 0.6172840	total: 1.74s	remaining: 32s
103:	learn: 0.6163899	total: 1.76s	remaining: 32.1s
104:	learn: 0.6153317	total: 1.78s	remaining: 32.1s
105:	learn: 0.6147594	total: 1.8s	remaining: 32.1s
106:	learn: 0.6142679	total: 1.81s	remaining: 32.1s
107:	learn: 0.6137823	total: 1.83s	remaining: 32.1s
108:	learn: 0.6133047	total: 1.85s	remaining: 32.1s
109:	learn: 0.6126916	total: 1.87s	remaining: 32.1s
110:	learn: 0.6120508	total: 1.89s	remaining: 32.1s
111:	learn: 0.6115931	total: 1.92s	remaining: 32.4s
112:	learn: 0.6108017	total: 1.94s	remaining: 32.3s
113:	learn: 0.6098722	total: 1.95s	remaining: 32.3s
114:	learn: 0.6093195	total: 1.97s	remaining: 32.3s
115:	learn: 0.6089454	total: 1.99s	remaining: 32.2s
116:	learn: 0.6082598	total: 2s	remaining: 32.2s
117:	learn: 0.6073066	total: 2.02s	remaining: 32.2s
118:	learn: 0.6062746	total: 2.03s	remaining: 32.2s
119:	learn: 0.6052927	total: 2.05s	remaining: 32.1s
120:	learn: 0.6045901	total: 2.07s	remaining: 32.2s
121:	learn: 0.6042668	total: 2.09s	remaining: 32.1s
122:	learn: 0.6039001	total: 2.1s	remaining: 32.1s
123:	learn: 0.6034971	total: 2.12s	remaining: 32.1s
124:	learn: 0.6030111	total: 2.14s	remaining: 32.1s
125:	learn: 0.6021725	total: 2.15s	remaining: 32s
