
0:	learn: 0.9584320	total: 2.52s	remaining: 3h 30m 9s
1:	learn: 0.9432598	total: 4.7s	remaining: 3h 15m 53s
2:	learn: 0.9289621	total: 6.83s	remaining: 3h 9m 46s
3:	learn: 0.9144502	total: 8.99s	remaining: 3h 7m 15s
4:	learn: 0.9006075	total: 11.1s	remaining: 3h 4m 10s
5:	learn: 0.8874994	total: 13.1s	remaining: 3h 1m 9s
6:	learn: 0.8745659	total: 15.2s	remaining: 3h 33s
7:	learn: 0.8626788	total: 17.3s	remaining: 2h 59m 45s
8:	learn: 0.8506658	total: 19.4s	remaining: 2h 58m 53s
9:	learn: 0.8398420	total: 21.5s	remaining: 2h 58m 47s
10:	learn: 0.8292444	total: 23.6s	remaining: 2h 58m 11s
11:	learn: 0.8185641	total: 25.7s	remaining: 2h 57m 43s
12:	learn: 0.8077995	total: 27.8s	remaining: 2h 57m 54s
13:	learn: 0.7970981	total: 29.9s	remaining: 2h 57m 16s
14:	learn: 0.7869993	total: 31.9s	remaining: 2h 56m 45s
15:	learn: 0.7771934	total: 34s	remaining: 2h 56m 17s
16:	learn: 0.7686648	total: 36s	remaining: 2h 55m 56s
17:	learn: 0.7597672	total: 38.1s	remaining: 2h 55m 46s
18:	learn: 0.7514096	total: 40.2s	remaining: 2h 55m 31s
19:	learn: 0.7433390	total: 42.1s	remaining: 2h 54m 50s
20:	learn: 0.7348986	total: 44.2s	remaining: 2h 54m 49s
21:	learn: 0.7269855	total: 46.4s	remaining: 2h 55m 3s
22:	learn: 0.7194645	total: 48.5s	remaining: 2h 54m 44s
23:	learn: 0.7124642	total: 50.5s	remaining: 2h 54m 35s
24:	learn: 0.7050833	total: 52.5s	remaining: 2h 54m 8s
25:	learn: 0.6986023	total: 54.5s	remaining: 2h 53m 54s
26:	learn: 0.6914068	total: 56.4s	remaining: 2h 53m 16s
27:	learn: 0.6850927	total: 58.5s	remaining: 2h 53m 7s
28:	learn: 0.6788246	total: 1m	remaining: 2h 52m 44s
29:	learn: 0.6734810	total: 1m 2s	remaining: 2h 52m 25s
30:	learn: 0.6669800	total: 1m 4s	remaining: 2h 52m 14s
31:	learn: 0.6614494	total: 1m 6s	remaining: 2h 51m 58s
32:	learn: 0.6560145	total: 1m 8s	remaining: 2h 51m 46s
33:	learn: 0.6505605	total: 1m 10s	remaining: 2h 51m 30s
34:	learn: 0.6448339	total: 1m 12s	remaining: 2h 51m 20s
35:	learn: 0.6402496	total: 1m 14s	remaining: 2h 51m 14s
36:	learn: 0.6351670	total: 1m 16s	remaining: 2h 51m 15s
37:	learn: 0.6296033	total: 1m 18s	remaining: 2h 51m 13s
38:	learn: 0.6249644	total: 1m 20s	remaining: 2h 50m 58s
39:	learn: 0.6202393	total: 1m 22s	remaining: 2h 50m 59s
40:	learn: 0.6159670	total: 1m 24s	remaining: 2h 50m 56s
41:	learn: 0.6117501	total: 1m 26s	remaining: 2h 50m 35s
